iter	RMSE
273	6.93844373
274	6.931030224
275	6.921668255
276	6.912691958
277	6.904191718
278	6.894450181
279	6.884590848
280	6.870092879
281	6.862672478
282	6.853224872
283	6.846772776
284	6.841702854
285	6.835590486
286	6.825396083
287	6.812572697
288	6.803510876
289	6.791220167
290	6.785169895
291	6.774313942
292	6.769984781
293	6.761589777
294	6.744982635
295	6.741313791
296	6.72751708
297	6.721143602
298	6.713007518
299	6.70453889
300	6.694024283
301	6.681372526
302	6.675807805
303	6.671016402
304	6.665693882
305	6.660536116
306	6.655328004
307	6.63982259
308	6.628911104
309	6.62574621
310	6.615730215
311	6.611338846
312	6.606008155
313	6.590016164
314	6.581650475
315	6.574392644
316	6.565084976
317	6.555311686
318	6.545398633
319	6.534321443
320	6.528022524
321	6.523009499
322	6.515201096
323	6.509845168
324	6.504722573
325	6.495203625
326	6.488142975
327	6.484126752
328	6.479788442
329	6.472039357
330	6.458073256
331	6.441678316
332	6.436855512
333	6.431155979
334	6.427032534
335	6.419242733
336	6.403779445
337	6.397559277
338	6.389020027
339	6.38020803
340	6.370224126
341	6.36316332
342	6.354623931
343	6.346836202
344	6.342968889
345	6.337160167
346	6.329462706
347	6.322064762
348	6.31485463
349	6.306046453
350	6.299437847
351	6.291931752
352	6.279039154
353	6.268597634
354	6.255384524
355	6.247046089
356	6.241372115
357	6.234539966
358	6.22891406
359	6.222789797
360	6.212759191
361	6.206887136
362	6.202361296
363	6.194434169
364	6.187934375
365	6.179020615
366	6.175039162
367	6.171254551
368	6.165421051
369	6.155740733
370	6.152757633
371	6.142879885
372	6.133328555
373	6.125132269
374	6.114363051
375	6.108465086
376	6.099193294
377	6.087077969
378	6.075124006
379	6.068126372
380	6.062862699
381	6.057137168
382	6.050090727
383	6.036813197
384	6.029662012
385	6.020366625
386	6.012030448
387	6.008313228
388	6.005197019
389	5.996574266
390	5.988460814
391	5.983735999
392	5.977706971
393	5.966553593
394	5.959687395
395	5.952964631
396	5.941544331
397	5.92907111
398	5.923736545
399	5.909932057
400	5.898554827
401	5.893277238
402	5.886417861
403	5.878455182
404	5.869732157
405	5.856437763
406	5.853992379
407	5.847645998
408	5.844227111
409	5.839871025
410	5.833230645
411	5.829733363
412	5.825823671
413	5.814844454
414	5.810880112
415	5.805267676
416	5.799154391
417	5.795984074
418	5.786790182
419	5.774059487
420	5.765940415
421	5.761439113
422	5.756640117
423	5.748055249
424	5.743444547
425	5.739895775
426	5.735140342
427	5.725052568
428	5.722289806
429	5.715004464
430	5.711784212
431	5.705284869
432	5.698966162
433	5.694350123
434	5.691778388
435	5.68537472
436	5.679631448
437	5.669843957
438	5.666486733
439	5.660356838
440	5.65283206
441	5.649342676
442	5.645975326
443	5.641678401
444	5.638599936
445	5.632844814
446	5.629537271
447	5.626807939
448	5.621202667
449	5.617391953
450	5.614829338
451	5.605271858
452	5.598643217
453	5.596250533
454	5.593311906
455	5.588811736
456	5.584210859
457	5.579934515
458	5.571355988
459	5.569010865
460	5.56323253
461	5.558755882
462	5.555843574
463	5.551530842
464	5.541761994
465	5.536439848
466	5.530114145
467	5.519969915
468	5.513534736
469	5.511074572
470	5.506043356
471	5.502469559
472	5.496837205
473	5.494030187
474	5.491911657
475	5.485765588
476	5.480346952
477	5.468405623
478	5.465640444
479	5.46065433
480	5.454633516
481	5.451867276
482	5.442614945
483	5.439385099
484	5.431652847
485	5.424818338
486	5.422575687
487	5.420939313
488	5.418502213
489	5.413063005
490	5.40747286
491	5.399682113
492	5.394003074
493	5.388506604
494	5.385975142
495	5.374540739
496	5.370359781
497	5.359953949
498	5.354313842
499	5.35084275
500	5.348450698
501	5.338366126
502	5.335554297
503	5.330627273
504	5.326730515
505	5.324044553
506	5.314712628
507	5.305701408
508	5.301836699
509	5.299768177
510	5.296223954
511	5.287677842
512	5.283217741
513	5.277222912
514	5.27524084
515	5.265467028
516	5.261422447
517	5.253615602
518	5.251471583
519	5.249786722
520	5.244905014
521	5.241193725
522	5.236426848
523	5.235189319
524	5.231725799
525	5.223065051
526	5.220451582
527	5.218218672
528	5.214819999
529	5.210136954
530	5.201704867
531	5.199988799
532	5.196561085
533	5.189611572
534	5.186133771
535	5.182066966
536	5.17581422
537	5.170351724
538	5.168765499
539	5.165350785
540	5.162007388
541	5.154242235
542	5.148872329
543	5.14369407
544	5.141795075
545	5.139663442
546	5.133123731
547	5.128801318
548	5.125608929
549	5.118521117
550	5.110865451
551	5.106962529
552	5.103907874
553	5.096594942
554	5.09366221
555	5.088117281
556	5.082643983
557	5.07159215
558	5.068439147
559	5.062546004
560	5.059364048
561	5.053973328
562	5.049388684
563	5.040791257
564	5.029935225
565	5.023438476
566	5.016107404
567	5.009763242
568	5.006128786
569	5.001263504
570	4.99632043
571	4.989518559
572	4.984601006
573	4.980645959
574	4.978716917
575	4.974603938
576	4.97305092
577	4.970428269
578	4.966708707
579	4.962216149
580	4.955043751
581	4.95248552
582	4.950870672
583	4.948756256
584	4.94709906
585	4.944940905
586	4.937636435
587	4.93628184
588	4.933057129
589	4.930370605
590	4.922901781
591	4.919276155
592	4.917961049
593	4.911178595
594	4.908683244
595	4.903860167
596	4.901630084
597	4.900420094
598	4.894312034
599	4.891822998
600	4.888159258
601	4.883098428
602	4.879163365
603	4.875187348
604	4.871812803
605	4.865808391
606	4.863364188
607	4.857800845
608	4.854871271
609	4.848989002
610	4.84620902
611	4.839456573
612	4.831038033
613	4.825037929
614	4.823842758
615	4.817755503
616	4.816538934
617	4.811340789
618	4.81010473
619	4.806587581
620	4.804192417
621	4.797710375
622	4.791581694
623	4.790008325
624	4.785754829
625	4.781115313
626	4.779355972
627	4.777092451
628	4.774127284
629	4.766507474
630	4.759782413
631	4.755336249
632	4.751762902
633	4.74835589
634	4.746209844
635	4.744397943
636	4.742154342
637	4.74112178
638	4.736746488
639	4.732670471
640	4.730654967
641	4.726166797
642	4.721399571
643	4.715448574
644	4.708106256
645	4.702328883
646	4.700403442
647	4.694733605
648	4.687399072
649	4.684223264
650	4.683221765
651	4.679994255
652	4.674299531
653	4.668182265
654	4.667110041
655	4.658407958
656	4.653804453
657	4.648232665
658	4.644607248
659	4.642248723
660	4.638708568
661	4.636014108
662	4.626931712
663	4.625971461
664	4.620979581
665	4.612875179
666	4.606572522
667	4.602907226
668	4.600072287
669	4.59715881
670	4.595496074
671	4.591084098
672	4.585549975
673	4.580104779
674	4.576229896
675	4.570477915
676	4.568536857
677	4.563743385
678	4.558100176
679	4.553535053
680	4.551538223
681	4.548035167
682	4.545759997
683	4.544312023
684	4.539460021
685	4.534007187
686	4.529165981
687	4.523331214
688	4.519921044
689	4.515977008
690	4.511503291
691	4.506431872
692	4.504424881
693	4.501419795
694	4.496589313
695	4.494790965
696	4.48983377
697	4.487668323
698	4.483095012
699	4.477851396
700	4.476496998
701	4.474583337
702	4.472163104
703	4.469632222
704	4.464771122
705	4.459756824
706	4.455370477
707	4.451977535
708	4.446093266
709	4.44222133
710	4.439337793
711	4.437128619
712	4.433417852
713	4.430913759
714	4.428434303
715	4.427313595
716	4.422724788
717	4.418049067
718	4.413575862
719	4.412124753
720	4.408152305
721	4.401817053
722	4.396891303
723	4.388937838
724	4.387332339
725	4.382811582
726	4.375955926
727	4.37264621
728	4.369039613
729	4.365464228
730	4.364027576
731	4.35971937
732	4.356293282
733	4.354056802
734	4.350392254
735	4.348619537
736	4.347939732
737	4.345157636
738	4.340643729
739	4.336407678
740	4.332956733
741	4.330733193
742	4.327916492
743	4.325394475
744	4.320698255
745	4.319189379
746	4.314331824
747	4.313325493
748	4.309293778
749	4.3069708
750	4.299176983
751	4.29729003
752	4.296069118
753	4.290986039
754	4.288888095
755	4.287242146
756	4.282959521
757	4.279494078
758	4.277886568
759	4.275651487
760	4.271944465
761	4.270005091
762	4.267547407
763	4.263907142
764	4.260235666
765	4.256159417
766	4.255449095
767	4.25329444
768	4.249589849
769	4.244306209
770	4.240804645
771	4.237595927
772	4.23637711
773	4.232741609
774	4.229776678
775	4.225768559
776	4.224594158
777	4.219933283
778	4.218759627
779	4.213928629
780	4.209969633
781	4.205347803
782	4.199736421
783	4.196245741
784	4.191752905
785	4.187954171
786	4.184282955
787	4.182308677
788	4.179102912
789	4.178190384
790	4.174384471
791	4.172931964
792	4.16797778
793	4.166178086
794	4.165652271
795	4.164080996
796	4.161754351
797	4.158202723
798	4.154931307
799	4.149607394
800	4.144062619
801	4.141399605
802	4.139056832
803	4.135375572
804	4.132800648
805	4.128126464
806	4.124864422
807	4.122886684
808	4.118772312
809	4.114324018
810	4.112237228
811	4.110696904
812	4.108785122
813	4.104641457
814	4.099877434
815	4.098543661
816	4.09667716
817	4.092776024
818	4.087496882
819	4.083264718
820	4.081821471
821	4.078172951
822	4.075880009
823	4.071166057
824	4.067336958
825	4.06626991
826	4.063507157
827	4.061247103
828	4.058314293
829	4.053608783
830	4.050211432
831	4.044860509
832	4.041261875
833	4.036015526
834	4.0330027
835	4.030344541
836	4.027935484
837	4.024665355
838	4.021726329
839	4.02033096
840	4.016815036
841	4.013707706
842	4.010498447
843	4.005283675
844	4.001980629
845	3.998761786
846	3.994762323
847	3.993273361
848	3.990181334
849	3.987056516
850	3.981365206
851	3.977133995
852	3.974255455
853	3.969147907
854	3.965861628
855	3.963619588
856	3.960612328
857	3.956431404
858	3.953821927
859	3.950468025
860	3.948490603
861	3.94754951
862	3.945717882
863	3.943264021
864	3.937657225
865	3.933501705
866	3.931277857
867	3.928955737
868	3.926583631
869	3.923438177
870	3.920542282
871	3.917998379
872	3.913813312
873	3.908032935
874	3.906648295
875	3.90497367
876	3.904157993
877	3.90060372
878	3.897814289
879	3.895793066
880	3.893501059
881	3.892188488
882	3.886662102
883	3.88471085
884	3.882847226
885	3.880374079
886	3.877572759
887	3.874705034
888	3.869798858
889	3.863829141
890	3.861011619
891	3.858498283
892	3.856570495
893	3.855627712
894	3.854319468
895	3.851344995
896	3.849520691
897	3.848540008
898	3.843711006
899	3.842951649
900	3.839723782
901	3.839070755
902	3.836589035
903	3.834394439
904	3.832716577
905	3.830091867
906	3.825926914
907	3.822806893
908	3.820079078
909	3.813179902
910	3.809493981
911	3.805899584
912	3.801890323
913	3.800695914
914	3.799091195
915	3.797805135
916	3.796062182
917	3.792661601
918	3.78928068
919	3.786981643
920	3.784367482
921	3.782843931
922	3.779925128
923	3.775162601
924	3.772282201
925	3.76836668
926	3.767657748
927	3.764375566
928	3.761956127
929	3.757520168
930	3.756238011
931	3.753559695
932	3.751581139
933	3.748532891
934	3.744804519
935	3.741731221
936	3.740297118
937	3.737610571
938	3.735226084
939	3.733359299
940	3.731813594
941	3.728355276
942	3.725927721
943	3.723401273
944	3.722584075
945	3.721161208
946	3.719799318
947	3.717832745
948	3.71640766
949	3.714950637
950	3.712067402
951	3.708136744
952	3.705309498
953	3.70188747
954	3.698176399
955	3.695997175
956	3.690179086
957	3.685850349
958	3.684959671
959	3.684057791
960	3.680847223
961	3.679185695
962	3.675173265
963	3.671891904
964	3.668619074
965	3.666533799
966	3.664713968
967	3.66091238
968	3.654367204
969	3.651225775
970	3.649485476
971	3.648468168
972	3.646048986
973	3.642544846
974	3.638840635
975	3.636056383
976	3.632498592
977	3.630510192
978	3.62782189
979	3.624364073
980	3.623111128
981	3.619989948
982	3.616417684
983	3.615080932
984	3.612621495
985	3.611424522
986	3.609369574
987	3.606236464
988	3.604764542
989	3.599851729
990	3.596146267
991	3.593765574
992	3.592492963
993	3.590206373
994	3.58595724
995	3.584200188
996	3.580983098
997	3.578901301
998	3.575301724
999	3.573099247
